GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),DHSMICSGEOREGION (CODE),DHSMICSGEOREGION (DISPLAY),DHSMICSGEOREGION (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,13.9 [12.1-15.9],13.86455,12.05509,15.89650,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDMICS201204,04 Khulna,,27.1 [23.9-30.4],27.06507,23.94926,30.42407,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDMICS201205,05 Rajshahi,,25.6 [22.0-29.5],25.56824,21.99383,29.50386,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDMICS201206,06 Rangpur,,35.8 [31.9-39.9],35.79952,31.87942,39.91919,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDMICS201207,07 Sylhet,,16.0 [12.9-19.8],16.04883,12.87889,19.82148,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,18.4 [16.2-20.9],18.44654,16.20334,20.92275,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ5,Q5 (Richest),,,,,55.2 [50.7-59.5],55.17038,50.71541,59.54388,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,PRLM,Primary,,,,,,,,,,,,,,15.9 [13.9-18.2],15.92683,13.90749,18.17746,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,URB,Urban,,,,,,,,43.3 [38.5-48.3],43.34361,38.53694,48.27888,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDMICS201202,02 Chittagong,,21.7 [18.3-25.5],21.68077,18.33031,25.45277,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,25.3 [22.4-28.5],25.34861,22.42373,28.51477,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,NHLM,None,,,,,,,,,,,,,,9.7 [8.0-11.8],9.71373,7.95470,11.81183,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,SHLM,Secondary or higher,,,,,,,,,,,,,,34.7 [32.2-37.3],34.72580,32.22509,37.31373,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,RUR,Rural,,,,,,,,19.7 [18.3-21.2],19.73036,18.33204,21.20764,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDMICS201201,01 Barisal,,14.0 [11.1-17.6],14.02424,11.08663,17.58627,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDMICS201203,03 Dhaka,,26.3 [22.4-30.5],26.25241,22.41861,30.48421,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,38.7 [33.5-44.2],38.72695,33.53274,44.19082,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ5,Q5 (Richest),,,,,55.1 [50.1-60.1],55.13876,50.05976,60.11279,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,15.4 [11.8-20.0],15.42527,11.76331,19.96923,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,27.3 [22.9-32.0],27.25071,22.93440,32.04161,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,SHLM,Secondary or higher,,,,,,,,,,,,,,40.4 [37.4-43.6],40.43196,37.35355,43.58755,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS201405,05 rajshahi,,26.5 [21.6-32.1],26.51513,21.55752,32.14563,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS201407,07 sylhet,,19.8 [14.2-27.0],19.81770,14.18850,26.97810,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,NHLM,None,,,,,,,,,,,,,,14.1 [9.7-20.1],14.08194,9.65819,20.08152,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,PRLM,Primary,,,,,,,,,,,,,,20.7 [17.2-24.6],20.65538,17.22310,24.56863,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,RUR,Rural,,,,,,,,26.1 [22.9-29.6],26.10427,22.92908,29.55057,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,URB,Urban,,,,,,,,45.5 [41.1-50.0],45.50994,41.12239,49.96833,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS201401,01 barisal,,24.6 [19.5-30.6],24.63891,19.53591,30.56847,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS201402,02 chittagong,,25.5 [20.2-31.6],25.46687,20.17828,31.59295,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS201403,03 dhaka,,35.5 [30.6-40.8],35.54536,30.61574,40.80196,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS201404,04 khulna,,38.8 [33.9-44.0],38.83138,33.86370,44.04250,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,20.0 [16.9-23.5],19.97953,16.85106,23.52449,,,
anc4,Antenatal care coverage - at least four visits (in the two or three years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2014,2014,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,,,,BGDDHS201406,06 rangpur,,41.3 [35.9-46.9],41.31680,35.94494,46.90363,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,No data,,,,,,Not available.
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,No data,,,,,,Not available.
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ5,Q5 (Richest),,,,,No data,,,,,,Not available.
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,No data,,,,,,Not available.
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1993,1993,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,No data,,,,,,Not available.
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,1.6 [0.9-2.6],1.56802,0.94718,2.58518,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,2.0 [1.2-3.2],1.95037,1.19101,3.17831,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,2.5 [1.6-3.9],2.52901,1.61339,3.94343,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,5.7 [4.2-7.8],5.72178,4.17586,7.79346,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1996,1996,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ5,Q5 (Richest),,,,,26.8 [23.5-30.5],26.83956,23.50471,30.45914,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,2.0 [1.1-3.8],2.04599,1.07941,3.84446,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,3.4 [2.3-5.1],3.41423,2.28111,5.08096,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,9.9 [8.0-12.4],9.94863,7.96097,12.36587,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,5.4 [4.1-7.1],5.37384,4.07019,7.06428,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1999,1999,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ5,Q5 (Richest),,,,,39.2 [34.8-43.8],39.23013,34.81750,43.82599,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,18.2 [15.3-21.5],18.21594,15.31018,21.53297,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ5,Q5 (Richest),,,,,44.8 [41.2-48.5],44.83466,41.19778,48.52763,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,7.1 [5.3-9.6],7.13623,5.26199,9.61031,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,3.9 [2.8-5.5],3.91734,2.77001,5.51294,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2004,2004,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,12.0 [9.7-14.8],12.04516,9.73986,14.80657,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ5,Q5 (Richest),,,,,No data,,,,,,Not available.
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,No data,,,,,,Not available.
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,No data,,,,,,Not available.
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,No data,,,,,,Not available.
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2006,2006,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,No data,,,,,,Not available.
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,8.3 [5.9-11.4],8.25196,5.92739,11.37792,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,14.9 [12.2-18.1],14.93667,12.24238,18.10159,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ5,Q5 (Richest),,,,,47.3 [43.2-51.4],47.25834,43.18600,51.36750,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,9.8 [7.7-12.2],9.75270,7.72878,12.23634,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2007,2007,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,26.6 [22.1-31.7],26.64548,22.12128,31.71810,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,13.2 [11.2-15.5],13.18609,11.20162,15.46092,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ3,Q3,,,,,19.4 [16.9-22.3],19.44124,16.88114,22.28550,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,28.3 [25.3-31.6],28.30565,25.25389,31.57044,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ5,Q5 (Richest),,,,,52.9 [49.4-56.3],52.89989,49.43520,56.33686,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2011,2011,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,9.0 [7.3-11.1],9.01142,7.28841,11.09301,,,
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ4,Q4,,,,,No data,,,,,,Not available.
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ1,Q1 (Poorest),,,,,No data,,,,,,Not available.
anc45,Antenatal care coverage - at least four visits (in the five years preceding the survey) (%),http://apps.who.int/gho/data/node.wrapper.imr?x-id=3323,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2012,2012,,SEAR,South-East Asia,,,,,BGD,Bangladesh,,,,,,,,,,,WQ2,Q2,,,,,No data,,,,,,Not available.
